user1,user2
10075,2885
10075,9774
10075,3462
10075,10369
2885,10075
2885,7643
2885,6023
2885,1085
2885,1220
2885,10369
2885,7265
2885,10190
2885,7405
2885,467
2885,7369
2885,7158
2885,4014
2885,522
2885,1732
2885,2927
2885,63
2885,3462
2885,4363
2885,258
9774,10075
9774,9012
9774,3492
9774,9987
9774,8045
9774,258
9774,1729
9774,214
9774,7323
9774,10369
9774,6853
9774,334
9774,2371
9774,8118
9774,4959
9774,4058
9774,4664
9774,1146
9774,7140
9774,4630
9774,2934
9774,1090
9774,11269
9774,7643
9774,7262
9774,6023
9774,288
9774,4673
9774,6869
9774,4763
9774,1561
9774,7741
9774,2549
9774,1414
9774,207
9774,3027
9774,4679
9774,2838
9774,10935
9774,1219
9774,10483
9774,180
9774,6183
9774,5764
9774,10317
9774,9503
9774,10327
9774,8220
9774,2108
9774,343
9774,10782
9774,4014
9774,3097
9774,7102
9774,2270
9774,11064
9774,10218
9774,8225
9774,9009
9774,4317
9774,10439
3462,10075
3462,10878
3462,4584
3462,3492
3462,2371
3462,5158
3462,11285
3462,7140
3462,8349
3462,8743
3462,11269
3462,7643
3462,334
3462,1085
3462,6570
3462,1270
3462,7265
3462,207
3462,3213
3462,2838
3462,4544
3462,2885
3462,5764
3462,7931
3462,343
3462,2329
3462,10782
3462,1277
3462,3097
3462,8669
3462,3195
3462,5625
3462,7315
3462,467
3462,5411
3462,8859
3462,1917
10369,10075
10369,9774
10369,2508
10369,7195
10369,7643
10369,334
10369,8810
10369,2943
10369,1277
10369,7651
10369,3125
10369,9572
10369,6340
10369,5011
10369,9989
10369,467
10369,207
10369,8220
10369,9987
10369,5443
10369,575
10369,1644
10369,7406
10369,2885
10369,2371
10369,4544
10369,11064
10369,9122
485,4838
485,5756
485,10966
485,8045
485,10885
485,9465
485,5918
485,4892
485,3000
485,5279
485,9981
485,11142
485,2218
485,6698
485,380
4838,485
4838,5238
4838,4530
4838,3000
4838,4590
4838,10885
4838,10056
4838,3257
4838,5756
4838,10966
4838,10465
4838,8045
4838,9981
5756,485
5756,9981
5756,5279
5756,10465
5756,4892
5756,5712
5756,4530
5756,3000
5756,9465
5756,5918
5756,2218
5756,330
5756,4838
5756,544
5756,10966
10966,485
10966,5279
10966,4892
10966,8515
10966,11142
10966,5238
10966,5235
10966,2189
10966,11166
10966,6048
10966,4530
10966,3000
10966,6789
10966,9465
10966,10885
10966,4458
10966,6975
10966,5756
10966,5918
10966,544
10966,4838
10966,10465
10966,9981
10966,2218
10966,431
8045,485
8045,178
8045,950
8045,8607
8045,2848
8045,7764
8045,33
8045,10814
8045,2094
8045,6714
8045,7541
8045,5750
8045,4115
8045,8009
8045,4442
8045,616
8045,10201
8045,896
8045,3794
8045,5886
8045,5823
8045,3873
8045,599
8045,559
8045,9030
8045,5067
8045,1997
8045,1144
8045,10617
8045,4600
8045,6875
8045,2250
8045,8334
8045,4419
8045,7790
8045,7293
8045,1466
8045,6685
8045,4445
8045,1955
8045,8814
8045,3770
8045,5215
8045,4489
8045,8260
8045,1503
8045,3288
8045,11294
8045,2552
8045,1316
8045,8454
8045,1910
8045,10574
8045,7167
8045,5015
8045,10404
8045,398
8045,1813
8045,651
8045,2356
8045,1014
8045,9290
8045,2313
8045,4111
8045,2888
8045,2265
8045,10364
8045,6450
8045,8984
8045,7389
8045,3123
8045,5559
8045,2208
8045,991
8045,1819
8045,2700
8045,4326
8045,4895
8045,11306
8045,5247
8045,8978
8045,3862
8045,9012
8045,11196
8045,698
8045,8058
8045,4153
8045,8162
8045,9082
8045,836
8045,9435
8045,8678
8045,9373
8045,7714
8045,10625
8045,10693
8045,3266
8045,2499
8045,7625
8045,7539
8045,915
8045,2504
8045,2348
8045,11066
8045,10739
8045,1175
8045,8635
8045,4740
8045,8001
8045,9035
8045,8006
8045,3035
8045,333
8045,8533
8045,6587
8045,10401
8045,1869
8045,5380
8045,5471
8045,3596
8045,7243
8045,6761
8045,5420
8045,691
8045,8337
8045,5390
8045,4812
8045,8238
8045,8228
8045,5663
8045,4584
8045,8474
8045,3251
8045,11317
8045,10245
8045,6202
8045,3843
8045,11056
8045,4863
8045,8615
8045,7433
8045,5681
8045,4721
8045,10831
8045,10807
8045,3492
8045,7585
8045,7241
8045,2396
8045,9462
8045,4591
8045,5891
8045,6691
8045,3762
8045,9961
8045,10131
8045,3076
8045,10426
8045,5264
8045,6508
8045,9862
8045,8555
8045,3845
8045,2992
8045,9874
8045,8836
8045,10022
8045,9861
8045,8698
8045,7111
8045,9022
8045,9295
8045,6033
8045,7575
8045,6802
8045,9919
8045,8354
8045,1718
8045,3360
8045,4240
8045,7732
8045,9194
8045,4524
8045,658
8045,3312
8045,3127
8045,11023
8045,6705
8045,7178
8045,2832
8045,7291
8045,6283
8045,3373
8045,5809
8045,3040
8045,6544
8045,3072
8045,10762
8045,4377
8045,9774
8045,8251
8045,10829
8045,5615
8045,9488
8045,2980
8045,7628
8045,9872
8045,7528
8045,7149
8045,3655
8045,9851
8045,4971
8045,11140
8045,5520
8045,3201
8045,151
8045,3465
8045,2709
8045,4728
8045,10334
8045,5135
8045,8155
8045,7059
8045,5483
8045,2142
8045,4055
8045,5783
8045,10557
8045,2634
8045,8745
8045,8241
8045,1528
8045,2899
8045,2940
8045,9346
8045,4288
8045,4057
8045,535
8045,4038
8045,9202
8045,11254
8045,3677
8045,5493
8045,10552
8045,2510
8045,5376
8045,9801
8045,5138
8045,10256
8045,4203
8045,9201
8045,10395
8045,9845
8045,8824
8045,5690
8045,4041
8045,3282
8045,3783
8045,2449
8045,3538
8045,4275
8045,10926
8045,1941
8045,5170
8045,1686
8045,5595
8045,143
8045,5398
8045,6082
8045,9331
8045,6139
8045,169
8045,4420
8045,5166
8045,11112
8045,5173
8045,5396
8045,10202
8045,10428
8045,11030
8045,9863
8045,7801
8045,627
8045,3891
8045,8707
8045,1867
8045,9627
8045,3038
8045,3383
8045,309
8045,5675
8045,8563
8045,5590
8045,5628
8045,10061
8045,301
8045,6479
8045,4163
8045,1494
8045,8262
8045,10982
8045,10949
8045,5596
8045,9988
8045,6918
8045,6655
8045,6147
8045,2246
8045,2110
8045,989
8045,8026
8045,15
8045,10116
8045,6263
8045,11297
8045,2859
8045,7442
8045,8508
8045,1638
8045,10142
8045,2413
8045,2974
8045,6669
8045,154
8045,5955
8045,1780
8045,5593
8045,9111
8045,8483
8045,2174
8045,981
8045,1040
8045,6457
8045,4845
8045,2666
8045,2414
8045,10286
8045,8386
8045,1134
8045,2664
8045,2758
8045,10794
8045,6327
8045,9180
8045,3229
8045,7103
8045,10861
8045,10194
8045,7084
8045,1885
8045,5472
8045,8741
8045,6549
8045,4594
8045,1323
8045,8329
8045,4989
8045,7289
8045,6741
8045,9557
8045,962
8045,8400
8045,10207
8045,2701
8045,5927
8045,5377
8045,3704
8045,3756
8045,6825
8045,5832
8045,7370
8045,3902
8045,3859
8045,1052
8045,3268
8045,477
8045,5213
8045,1738
8045,237
8045,9491
8045,9995
8045,8256
8045,10500
8045,2130
8045,9948
8045,274
8045,8765
8045,10278
8045,5158
8045,4491
8045,9250
8045,8518
8045,10445
8045,364
8045,3657
8045,589
8045,2426
8045,6090
8045,4175
8045,1476
8045,5435
8045,1031
8045,8646
8045,2831
8045,1396
8045,9911
8045,10548
8045,3981
8045,10534
8045,5737
8045,3188
8045,6209
8045,1509
8045,6027
8045,10499
8045,2143
8045,1868
8045,6356
8045,4257
8045,11189
8045,298
8045,8385
8045,11285
8045,4307
8045,10270
8045,4072
8045,6946
8045,7219
8045,1486
8045,6286
8045,3510
8045,8955
8045,11136
8045,9459
8045,8375
8045,5954
8045,5811
8045,6695
8045,4905
8045,6559
8045,3943
8045,5775
8045,5062
8045,3733
8045,3200
8045,6821
8045,2074
8045,3910
8045,8737
8045,6018
8045,8711
8045,8250
8045,7271
8045,9135
8045,1482
8045,7268
8045,2860
8045,6602
8045,4562
8045,3167
8045,5263
8045,7164
8045,6801
8045,9305
8045,4778
8045,6211
8045,7014
8045,2887
8045,583
8045,10590
8045,8443
8045,7744
8045,4321
8045,2535
8045,3823
8045,8546
8045,5839
8045,4936
8045,5296
8045,2002
8045,10900
8045,10265
8045,10107
8045,10615
8045,9366
8045,10052
8045,7684
8045,5854
8045,11061
8045,7195
8045,1961
8045,1203
8045,4525
8045,7583
8045,1127
8045,4456
8045,3182
8045,1905
8045,8571
8045,8999
8045,6684
8045,9789
8045,1936
8045,4519
8045,5697
8045,11126
8045,5432
8045,2051
8045,5513
8045,4303
8045,10169
8045,8847
8045,7958
8045,10339
8045,3928
8045,216
8045,9120
8045,9078
8045,11043
8045,174
8045,8178
8045,1529
8045,3311
8045,6053
8045,5224
8045,10484
8045,8325
8045,9638
8045,9732
8045,7156
8045,8751
8045,9781
8045,4073
8045,4050
8045,3728
8045,5006
8045,8476
8045,837
8045,4479
8045,10290
8045,2588
8045,9450
8045,4585
8045,11202
8045,7826
8045,8511
8045,6270
8045,6011
8045,5064
8045,1611
8045,299
8045,9461
8045,5221
8045,2675
8045,8927
8045,5424
8045,318
8045,2522
8045,10280
8045,10934
8045,4753
8045,8172
8045,10779
8045,11003
8045,1992
8045,693
8045,7061
8045,1679
8045,9683
8045,3917
8045,10868
8045,6186
8045,5579
8045,7051
8045,3545
8045,4791
8045,1981
8045,11201
8045,1856
8045,8572
8045,7915
8045,8092
8045,4370
8045,66
8045,8743
8045,11290
8045,4485
8045,1211
8045,3551
8045,2239
8045,3021
8045,2376
8045,1985
8045,7624
8045,6067
8045,2473
8045,5418
8045,10024
8045,3912
8045,17
8045,6329
8045,4285
8045,1280
8045,7135
8045,8119
8045,8724
8045,8784
8045,3994
8045,10309
8045,9475
8045,6225
8045,9416
8045,5957
8045,10856
8045,11051
8045,3669
8045,4027
8045,4768
8045,6117
8045,1773
8045,239
8045,2638
8045,11050
8045,1745
8045,8987
8045,8846
8045,10000
8045,4940
8045,4512
8045,4220
8045,8449
8045,10337
8045,9486
8045,4264
8045,4155
8045,80
8045,8580
8045,882
8045,4868
8045,6642
8045,5321
8045,1090
8045,2850
8045,4849
8045,6012
8045,6733
8045,6471
8045,5710
8045,9883
8045,472
8045,4729
8045,2431
8045,7354
8045,8114
8045,6608
8045,10784
8045,7285
8045,2610
8045,10539
8045,948
8045,5312
8045,3944
8045,7580
8045,8976
8045,6196
8045,681
8045,9023
8045,9027
8045,5168
8045,3048
8045,5463
8045,11075
8045,7000
8045,9620
8045,11261
8045,6893
8045,11221
8045,9093
8045,1111
8045,7597
8045,10978
8045,8683
8045,767
8045,1022
8045,11269
8045,6664
8045,6880
8045,7676
8045,3307
8045,541
8045,9420
8045,6126
8045,10589
8045,8279
8045,1469
8045,3710
8045,9088
8045,1622
8045,3070
8045,11046
8045,10491
8045,5727
8045,8403
8045,8036
8045,6792
8045,5715
8045,7610
8045,5837
8045,6751
8045,4967
8045,2344
8045,842
8045,3945
8045,4431
8045,4792
8045,9972
8045,1164
8045,9222
8045,7363
8045,5925
8045,3116
8045,4705
8045,1800
8045,6223
8045,10434
8045,4136
8045,8167
8045,5385
8045,6458
8045,120
8045,1278
8045,7643
8045,6771
8045,10455
8045,10769
8045,9858
8045,7672
8045,5696
8045,7630
8045,2253
8045,821
8045,6395
8045,7224
8045,10997
8045,7259
8045,6060
8045,4783
8045,6377
8045,4260
8045,6440
8045,6246
8045,3853
8045,1794
8045,2346
8045,229
8045,3234
8045,9400
8045,8182
8045,4924
8045,2275
8045,5470
8045,9565
8045,3572
8045,9049
8045,1391
8045,9083
8045,1326
8045,2882
8045,6672
8045,5627
8045,3625
8045,7153
8045,8777
8045,9707
8045,8835
8045,8537
8045,7262
8045,1926
8045,4200
8045,759
8045,2306
8045,3228
8045,4089
8045,6239
8045,2765
8045,9675
8045,9609
8045,2531
8045,967
8045,5889
8045,10702
8045,31
8045,9217
8045,4615
8045,11253
8045,3504
8045,5043
8045,4342
8045,781
8045,957
8045,4210
8045,5565
8045,4550
8045,6498
8045,7036
8045,6494
8045,5612
8045,10007
8045,2567
8045,2427
8045,9820
8045,231
8045,6463
8045,1348
8045,8093
8045,96
8045,3057
8045,9529
8045,7745
8045,260
8045,6486
8045,8086
8045,9293
8045,2541
8045,4684
8045,8057
8045,2534
8045,6514
8045,1404
8045,10403
8045,3851
8045,3267
8045,4527
8045,3801
8045,3978
8045,7948
8045,1636
8045,4084
8045,11249
8045,7189
8045,5192
8045,5194
8045,7355
8045,9901
8045,10433
8045,1763
8045,7620
8045,10388
8045,9864
8045,9214
8045,3772
8045,11146
8045,6320
8045,5147
8045,4896
8045,4495
8045,10806
8045,4408
