AVATAR,SELLER,SNAPSHOT,COMMENT,WALLPOST,LOVE,IN_DEGREE,OUT_DEGREE,AVG_SUB_COM_MAR,AVG_POL_COM_MAR,STD_SUB_COM_MAR,STD_POL_COM_MAR,AVG_SUB_REV_MAR,AVG_POL_REV_MAR,STD_SUB_REV_MAR,STD_POL_REV_MAR,AVG_SUB_COM_SOC,AVG_POL_COM_SOC,STD_SUB_COM_SOC,STD_POL_COM_SOC,AVG_SUB_STA_SOC,AVG_POL_STA_SOC,STD_SUB_STA_SOC,STD_POL_STA_SOC
rona33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asmodea.damiano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
serena.ocello,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kris.askari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trixie.neox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aleza.deschanel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
samijogirl24,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sarahfinaanna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
klistan,0,14,13,6,61,0,71,0,0,0,0,0,0,0,0,0.384615384615,0.307692307692,0.486504255411,0.417799249662,0.0,0.0,0.0,0.0
cherryfixx,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0.3,0.390625,0.0,0.0,0,0,0,0
taty2009.rae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
catyrena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jayme.avro,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0alexie0angel0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jefst.jolles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unleashedregret,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tyler.berlin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hermann2889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
homykiss,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0.2,-0.166666666667,0.282842712475,0.235702260396
abbeyswan,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9,-0.5,0.0,0.0
baileysunrice,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
p5ycho,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333,0.333333333333,0.471404520791,0.471404520791
sheyenne.rhiadra,0,3,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.739642857143,0.306964285714,0.0996428571429,0.423035714286
paulina.india,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
petal.abbot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ome.audeburgh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
silvie.messmer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dinara.zabelin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
